reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,latitude,longitude
2018-01-19 10:42:00,MOTOR VEHICLE ACCIDENT,2018-01-19 10:30:00,2018-01-19 10:30:00,BURDEN HALL,39 HARVARD WAY,ALLSTON,CLOSED,42.365479,-71.1210092
2018-01-19 11:30:00,THEFT REPORT,2018-01-18 12:50:00,2018-01-18 13:10:00,MALKIN ATHLETIC CENTER,39 HOLYOKE ST,CAMBRIDGE,CLOSED,42.37135079999999,-71.1193922
2018-01-19 11:35:00,SUSPICIOUS ACTIVITY,2018-01-19 11:30:00,2018-01-19 11:30:00,LOEB DRAMA CENTER - AMERICAN R,64 BRATTLE ST,CAMBRIDGE,CLOSED,42.3748576,-71.122969
2018-01-19 15:16:00,UNWANTED GUEST,2018-01-19 15:16:00,2018-01-19 15:16:00,GUND HALL,48 QUINCY ST,CAMBRIDGE,CLOSED,42.3758956,-71.11385849999999
2018-01-19 16:17:00,THEFT REPORT,2018-01-19 16:00:00,2018-01-19 16:10:00,SHALER LANE 25,25 SHALER LN,CAMBRIDGE,CLOSED,42.3754995,-71.13138289999999
2018-01-19 20:38:00,NOISE COMPLAINT,2018-01-19 20:38:00,2018-01-19 20:38:00,HOLDEN GREEN 301,301 HOLDEN ST,CAMBRIDGE,CLOSED,42.3788665,-71.1082191
2018-01-24 02:33:00,UNWANTED GUEST,2018-01-24 02:33:00,2018-01-24 02:33:00,LEVERETT HOUSE MASTERS,25 DEWOLFE ST,CAMBRIDGE,CLOSED,42.3700531,-71.1174183
2018-01-24 12:47:00,DEMONSTRATION,2018-01-24 12:30:00,2018-01-24 15:00:00,HARVARD YARD,1 PEABODY ST,CAMBRIDGE,CLOSED,42.3743935,-71.11625719999999
2018-01-24 14:16:00,SUSPICIOUS ACTIVITY,2018-01-24 14:16:00,2018-01-24 14:16:00,HOLDEN GREEN 10,10 HOLDEN ST,CAMBRIDGE,CLOSED,42.3786487,-71.1084468
2018-01-24 23:16:00,NOISE COMPLAINT,2018-01-24 23:16:00,2018-01-24 23:16:00,PEABODY TERRACE 04,900 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3662518,-71.1152777
2018-01-24 23:32:00,THEFT REPORT,2018-01-24 20:00:00,2018-01-24 23:32:00,MATHER HOUSE DINING HALL,93 BANKS ST,CAMBRIDGE,CLOSED,42.3683781,-71.11521259999999
2018-02-06 09:59:00,FIELD INTERVIEW,2018-02-06 09:35:00,2018-02-06 10:30:00,CASPERSEN STUDENT CENTER,1585 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3790947,-71.1187539
2018-02-06 10:07:00,TRESPASS WARNING,2018-02-06 10:07:00,2018-02-06 10:07:00,SMITH CAMPUS CENTER,1350 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.37263979999999,-71.1186448
2018-02-06 16:09:00,THEFT REPORT,2018-02-06 15:55:00,2018-02-06 16:05:00,SCIENCE CENTER,1 OXFORD ST,CAMBRIDGE,CLOSED,42.3763452,-71.11660429999999
2018-02-06 21:00:00,SUSPICIOUS ACTIVITY,2017-09-17 08:00:00,2017-09-24 23:00:00,CURRIER HOUSE A - BINGHAM HALL,64 LINNAEAN ST,CAMBRIDGE,CLOSED,42.381808,-71.1255378
2018-01-07 08:45:00,MOTOR VEHICLE ACCIDENT,2018-01-07 08:30:00,2018-01-07 08:30:00,CHAO CENTER,49 HARVARD WAY,ALLSTON,CLOSED,0,0
2018-01-07 14:08:00,PROPERTY DAMAGE,2018-01-07 14:05:00,2018-01-07 14:40:00,PHILLIPS BROOKS HOUSE,18 HARVARD YARD,CAMBRIDGE,CLOSED,42.3756525,-71.1179172
2018-01-07 17:20:00,PROPERTY DAMAGE,2018-01-07 17:15:00,2018-01-07 18:00:00,DUNSTER HOUSE,945 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3686354,-71.115776
2018-01-21 02:08:00,SUSPICIOUS ACTIVITY,2018-01-21 01:55:00,2018-01-21 01:55:00,FACULTY CLUB,20 QUINCY ST,CAMBRIDGE,CLOSED,42.3732494,-71.1141792
2018-01-21 13:52:00,SUSPICIOUS ACTIVITY,2018-01-21 13:52:00,2018-01-21 13:52:00,ATHLETICS - GORDON TRACK,79 N HARVARD ST,ALLSTON,CLOSED,42.3670806,-71.1249404
2018-01-21 17:19:00,THEFT REPORT,2018-01-20 00:05:00,2018-01-20 03:00:00,JOHN HARVARD STATUE,1 HARVARD YARD,CAMBRIDGE,CLOSED,42.3744676,-71.1171808
2018-01-05 06:05:00,SUSPICIOUS ACTIVITY,2018-01-05 06:05:00,2018-01-05 06:05:00,BROADWAY GARAGE,7 FELTON ST,CAMBRIDGE,CLOSED,42.3745438,-71.11284049999999
2018-01-05 11:32:00,HARASSMENT,2017-01-05 11:50:00,2017-01-05 12:25:00,HASTINGS HALL,1533 MASSACHUSETTS AVE,CAMBRIDGE,OPEN,42.377565,-71.119489
2018-02-04 00:25:00,SUSPICIOUS ACTIVITY,2018-02-04 00:25:00,2018-02-04 01:00:00,9-13A WARE ST - 11 WARE,11 WARE ST,CAMBRIDGE,CLOSED,42.3727935,-71.1134427
2018-02-04 14:34:00,NOISE COMPLAINT,2018-02-04 14:34:00,2018-02-04 14:34:00,SCIENCE CENTER PLAZA,1 OXFORD ST,CAMBRIDGE,CLOSED,42.3763452,-71.11660429999999
2018-01-01 19:29:00,FIELD INTERVIEW,2018-01-01 19:29:00,2018-01-01 19:42:00,JOHN HARVARD STATUE,1 HARVARD YARD,CAMBRIDGE,CLOSED,42.37247929999999,-71.1159323
2018-01-25 01:31:00,ASSIST CAMBRIDGE POLICE,2018-01-25 01:31:00,2018-01-25 01:31:00,DELPHIC CLUB,9 LINDEN ST,CAMBRIDGE,CLOSED,42.3723772,-71.1175039
