reported,incident_type,occurred_start,occurred_end,location,street_address,city,disposition,latitude,longitude
2017-12-22 14:51:00,UNWANTED GUEST,2017-12-22 14:55:00,2017-12-22 15:15:00,ATHLETICS - STADIUM,79 N HARVARD ST,ALLSTON,CLOSED,42.3670806,-71.1249404
2017-12-20 10:36:00,THEFT REPORT,2017-12-19 17:00:00,2017-12-20 10:00:00,CARPENTER CENTER,24 QUINCY ST,CAMBRIDGE,OPEN,42.3736458,-71.11426089999999
2017-12-20 15:22:00,TRESPASS WARNING,2017-12-14 12:00:00,2017-12-15 16:00:00,NIEMAN FOUNDATION,1 FRANCIS AVE,CAMBRIDGE,CLOSED,0,0
2018-02-13 11:50:00,HAZARDOUS CONDITION,2018-02-13 11:40:00,2018-02-13 12:15:00,MEMORIAL CHURCH,23 HARVARD YARD,CAMBRIDGE,CLOSED,42.3749238,-71.1162548
2018-02-13 14:24:00,THEFT REPORT,2018-02-06 00:01:00,2018-02-13 14:24:00,CABOT SCIENCE LIBRARY,1 OXFORD ST,CAMBRIDGE,CLOSED,42.37623670000001,-71.11623999999999
2018-01-12 11:44:00,UNWANTED GUEST,2018-01-12 11:44:00,2018-01-12 11:44:00,LAW SCHOOL PROJECT OFFICES,125 MT AUBURN ST,CAMBRIDGE,CLOSED,42.3780901,-71.1188478
2018-01-12 13:20:00,SUSPICIOUS ACTIVITY,2018-01-12 13:13:00,2018-01-12 13:14:00,SMITH CAMPUS CENTER,1350 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.372708,-71.11883619999999
2018-01-12 21:36:00,LOST PROPERTY,2018-01-12 07:30:00,2018-01-12 18:00:00,ADAMS HOUSE - CLAVERLY HALL,63 MT AUBURN ST,CAMBRIDGE,CLOSED,42.371723,-71.1166585
2017-12-27 11:59:00,PROPERTY DAMAGE,2017-12-27 11:30:00,2017-12-27 12:55:00,LOWELL HOUSE,1201 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3706718,-71.118687
2018-01-28 13:39:00,TRESPASS WARNING,2018-01-28 13:39:00,2018-01-28 13:50:00,HARVARD YARD - WIDENER GATE,42 HARVARD YARD,CAMBRIDGE,CLOSED,42.3743935,-71.11625719999999
2018-02-14 04:03:00,FIELD INTERVIEW,2018-02-14 04:03:00,2018-02-14 04:40:00,CONANT HALL,36 OXFORD ST,CAMBRIDGE,CLOSED,42.379462,-71.116246
2018-02-14 09:33:00,TRESPASS WARNING,2018-02-14 09:33:00,2018-02-14 11:10:00,SOLDIERS FIELD PARK 01,111 WESTERN AVE,ALLSTON,CLOSED,42.3644675,-71.1199197
2018-02-14 09:57:00,ANNOYING CALLS/TEXTS/EMAILS,2018-02-14 09:46:00,2018-02-14 09:57:00,BOYLSTON HALL,5 HARVARD YARD,CAMBRIDGE,CLOSED,42.3743935,-71.11625719999999
2018-02-14 15:04:00,SUSPICIOUS ACTIVITY,2018-02-14 15:04:00,2018-02-14 15:04:00,HARVARD YARD,1 PEABODY ST,CAMBRIDGE,CLOSED,42.3743935,-71.11625719999999
2018-02-14 23:03:00,UNWANTED GUEST,2018-02-14 23:03:00,2018-02-14 23:03:00,APLEY COURT,16 HOLYOKE ST,CAMBRIDGE,CLOSED,42.3723561,-71.1181357
2018-01-15 02:28:00,PROPERTY DAMAGE,2018-01-15 02:28:00,2018-01-15 03:30:00,"HOLMES HALL, HLS",18 EVERETT ST,CAMBRIDGE,CLOSED,42.3780901,-71.1188478
2018-01-31 15:31:00,DEMONSTRATION,2018-01-31 15:30:00,2018-01-31 16:30:00,MASSACHUSETTS HALL,11 HARVARD YARD,CAMBRIDGE,CLOSED,0,0
2018-01-31 23:24:00,ASSIST CAMBRIDGE POLICE,2018-01-31 23:24:00,2018-01-31 23:24:00,DELPHIC CLUB,9 LINDEN ST,CAMBRIDGE,CLOSED,42.3723772,-71.1175039
2018-01-31 23:41:00,THEFT REPORT,2018-01-31 20:50:00,2018-02-01 00:27:00,LAMONT LIBRARY,11 QUINCY ST,CAMBRIDGE,CLOSED,42.372767,-71.11548100000002
2018-01-17 08:11:00,MOTOR VEHICLE ACCIDENT,2018-01-17 05:30:00,2018-01-17 05:30:00,SCIENCE COMPLEX GARGAGE,140 WESTERN AVE,ALLSTON,CLOSED,42.363112,-71.125901
2018-01-17 12:00:00,SUSPICIOUS ACTIVITY,2018-01-12 17:45:00,2018-01-17 10:50:00,WALLACH HOUSE,77 BRATTLE ST,CAMBRIDGE,CLOSED,42.37554129999999,-71.1228744
2018-01-17 13:31:00,SUSPICIOUS ACTIVITY,2018-01-17 13:31:00,2018-01-17 13:31:00,TAUBMAN CENTER,15 ELIOT ST,CAMBRIDGE,CLOSED,42.3718197,-71.12207719999999
2018-01-17 14:18:00,THEFT REPORT,2018-01-17 14:15:00,2018-01-17 14:15:00,RUBENSTEIN BUILDING,1 ELIOT ST,CAMBRIDGE,CLOSED,0,0
2018-01-17 21:22:00,PROPERTY DAMAGE,2018-01-17 21:20:00,2018-01-17 23:00:00,PEABODY TERRACE 01,900 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3662518,-71.1152777
2018-02-12 13:02:00,FRAUD,2018-02-12 12:15:00,2018-02-12 12:50:00,BARKER CENTER,12 QUINCY ST,CAMBRIDGE,CLOSED,42.3725819,-71.1145547
2018-02-12 16:13:00,SUSPICIOUS ACTIVITY,2018-02-12 12:43:00,2018-02-12 12:43:00,HOFFMAN LAB GEOLOGY,20 OXFORD ST,CAMBRIDGE,CLOSED,42.3779947,-71.1158387
2018-02-12 17:11:00,SUSPICIOUS ACTIVITY,2018-02-12 14:00:00,2018-02-12 14:15:00,SCIENCE CENTER,1 OXFORD ST,CAMBRIDGE,CLOSED,42.3763452,-71.11660429999999
2018-02-12 22:47:00,SUSPICIOUS MAIL/ PACKAGE/BAG,2018-02-12 22:47:00,2018-02-12 22:47:00,LAMONT LIBRARY,11 QUINCY ST,CAMBRIDGE,CLOSED,42.372767,-71.11548100000002
2018-01-13 04:58:00,SUSPICIOUS ACTIVITY,2018-01-13 04:58:00,2018-01-13 04:58:00,ATHLETICS - BRIGHT HOCKEY CENT,79 N HARVARD ST,ALLSTON,CLOSED,42.3683351,-71.12718260000001
2018-01-13 17:46:00,NOISE COMPLAINT,2018-01-13 14:00:00,2018-01-13 18:10:00,HOLDEN GREEN 303,303 HOLDEN ST,CAMBRIDGE,CLOSED,42.3788671,-71.1082163
2017-12-21 19:20:00,UNWANTED GUEST,2017-12-21 19:20:00,2017-12-21 19:20:00,ATHLETICS - STADIUM,79 N HARVARD ST,ALLSTON,CLOSED,42.3670806,-71.1249404
2018-01-08 03:29:00,PROPERTY DAMAGE,2018-01-08 03:29:00,2018-01-08 03:29:00,PEABODY TERRACE 11,900 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3662518,-71.1152777
2018-01-08 10:03:00,THEFT REPORT,2018-01-04 11:00:00,2018-01-04 12:00:00,HARVARD UNIVERSITY HEALTH SERV,75 MT AUBURN ST,CAMBRIDGE,CLOSED,42.3722336,-71.11866599999999
2018-01-08 16:47:00,THREAT(S),2018-01-08 16:00:00,2018-01-08 16:00:00,HARVARD UNIVERSITY POLICE DEPA,1033-6 MASSACHUSETTS AVE,CAMBRIDGE,OPEN,42.3699413,-71.11212569999999
2018-01-08 20:08:00,FIELD INTERVIEW,2018-01-08 20:00:00,2018-01-08 20:30:00,HARVARD UNIVERSITY POLICE DEPA,28 TRAVIS ST,ALLSTON,CLOSED,42.3770029,-71.11666009999999
2018-01-08 20:56:00,SUSPICIOUS ACTIVITY,2018-01-08 20:56:00,2018-01-08 20:56:00,NORTH HALL,1651 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3813942,-71.1192145
2018-02-09 07:27:00,SUSPICIOUS ACTIVITY,2018-02-09 07:27:00,2018-02-09 07:27:00,NORTH HALL LOT,1645 MASSACHUSETTS AVE,CAMBRIDGE,CLOSED,42.3813942,-71.1192145
2018-02-09 08:30:00,SUSPICIOUS ACTIVITY,2018-02-09 08:30:00,2018-02-09 08:30:00,EVERETT STREET GARAGE,27 EVERETT ST,CAMBRIDGE,CLOSED,42.3800672,-71.1175873
2018-02-09 10:28:00,DISTURBANCE,2018-02-09 10:28:00,2018-02-09 10:40:00,HARVARD EXTENSION SCHOOL - 51,51 BRATTLE ST,CAMBRIDGE,CLOSED,0,0
2018-02-09 11:46:00,MOTOR VEHICLE ACCIDENT,2018-02-09 10:20:00,2018-02-09 10:30:00,PEABODY TERRACE GARAGE,125 PUTNAM AVE,CAMBRIDGE,CLOSED,0,0
2018-02-09 14:58:00,THEFT REPORT,2018-02-09 14:42:00,2018-02-09 14:42:00,PAINE HALL,3 OXFORD ST,CAMBRIDGE,CLOSED,42.3766831,-71.1176034
2018-02-09 22:06:00,ASSIST BOSTON POLICE,2018-02-09 21:40:00,2018-02-09 22:50:00,SHATTUCK INTERNATIONAL HOUSE -,199 PARK DR,BOSTON,CLOSED,42.341385,-71.1003143
2018-02-09 23:11:00,NOISE COMPLAINT,2018-02-09 23:11:00,2018-02-09 23:11:00,PEABODY TERRACE 02,900 MEMORIAL DR,CAMBRIDGE,CLOSED,42.3662518,-71.1152777
2018-01-11 08:37:00,VANDALISM,2018-01-11 07:30:00,2018-01-11 07:30:00,WIDENER LIBRARY,31 HARVARD YARD,CAMBRIDGE,CLOSED,42.3734309,-71.116519
2018-01-11 09:55:00,ANNOYING CALLS/TEXTS/EMAILS,2018-01-02 22:24:00,2018-01-07 16:49:00,LITTAUER HKS,79 JFK ST,CAMBRIDGE,CLOSED,42.3709808,-71.1221527
2018-01-11 12:42:00,SUSPICIOUS ACTIVITY,2018-01-11 12:42:00,2018-01-11 12:42:00,JOHN HARVARD STATUE,1 HARVARD YARD,CAMBRIDGE,CLOSED,42.3744676,-71.1171808
2018-01-11 13:28:00,THEFT REPORT,2017-12-21 17:00:00,2018-01-02 09:00:00,GUND HALL,48 QUINCY ST,CAMBRIDGE,CLOSED,42.3758956,-71.11385849999999
2018-01-11 16:00:00,TRESPASS WARNING,2018-01-11 15:45:00,2018-01-11 16:15:00,114 WESTERN AVE LOT,114 WESTERN AVE,ALLSTON,CLOSED,42.3632205,-71.12447259999999
2018-01-11 16:01:00,PROPERTY DAMAGE,2018-01-11 08:30:00,2018-01-11 14:00:00,SOUTH ST LOT,19 SOUTH ST,CAMBRIDGE,CLOSED,42.3402718,-71.1564095
2018-02-10 09:00:00,MOTOR VEHICLE ACCIDENT,2018-02-09 23:00:00,2018-02-10 09:00:00,CARPENTER CENTER,24 QUINCY ST,CAMBRIDGE,CLOSED,42.3736458,-71.11426089999999
2018-02-10 14:16:00,MOTOR VEHICLE ACCIDENT,2018-02-10 14:15:00,2018-02-10 14:15:00,EVERETT STREET GARAGE,27 EVERETT ST,CAMBRIDGE,CLOSED,42.3800672,-71.1175873
